Alignment_name	Locus_type
SISRS_contig-130000080.fasta	lnc_RNA
SISRS_contig-525000119.fasta	lnc_RNA
SISRS_contig-1639000093.fasta	lnc_RNA
SISRS_contig-151000013.fasta	lnc_RNA
SISRS_contig-1793000153.fasta	lnc_RNA
SISRS_contig-816000172.fasta	lnc_RNA
SISRS_contig-1279000081.fasta	lnc_RNA
SISRS_contig-1640000059.fasta	lnc_RNA
SISRS_contig-466000002.fasta	lnc_RNA
SISRS_contig-772000004.fasta	lnc_RNA
SISRS_contig-1348000184.fasta	lnc_RNA
SISRS_contig-1146000193.fasta	lnc_RNA
SISRS_contig-1210000109.fasta	lnc_RNA
SISRS_contig-605000100.fasta	lnc_RNA
SISRS_contig-1130000062.fasta	lnc_RNA
SISRS_contig-1376000026.fasta	lnc_RNA
SISRS_contig-1358000192.fasta	lnc_RNA
SISRS_contig-1001000129.fasta	lnc_RNA
SISRS_contig-860000098.fasta	lnc_RNA
SISRS_contig-1490000020.fasta	lnc_RNA
SISRS_contig-360000151.fasta	lnc_RNA
SISRS_contig-1152000002.fasta	lnc_RNA
SISRS_contig-1042000188.fasta	lnc_RNA
SISRS_contig-439000150.fasta	lnc_RNA
SISRS_contig-1464000017.fasta	lnc_RNA
SISRS_contig-258000053.fasta	lnc_RNA
SISRS_contig-248000172.fasta	lnc_RNA
SISRS_contig-595000098.fasta	lnc_RNA
SISRS_contig-246000008.fasta	lnc_RNA
SISRS_contig-872000137.fasta	lnc_RNA
SISRS_contig-1464000090.fasta	lnc_RNA
SISRS_contig-1645000146.fasta	lnc_RNA
SISRS_contig-1545000011.fasta	lnc_RNA
SISRS_contig-147000145.fasta	lnc_RNA
SISRS_contig-481000149.fasta	lnc_RNA
SISRS_contig-1531000184.fasta	lnc_RNA
SISRS_contig-193000055.fasta	lnc_RNA
SISRS_contig-430000142.fasta	lnc_RNA
SISRS_contig-1035000175.fasta	lnc_RNA
SISRS_contig-1691000097.fasta	lnc_RNA
SISRS_contig-951000115.fasta	lnc_RNA
SISRS_contig-1075000050.fasta	lnc_RNA
SISRS_contig-887000054.fasta	lnc_RNA
SISRS_contig-650000181.fasta	lnc_RNA
SISRS_contig-1137000027.fasta	lnc_RNA
SISRS_contig-200000172.fasta	lnc_RNA
SISRS_contig-1170000126.fasta	lnc_RNA
SISRS_contig-343000176.fasta	lnc_RNA
SISRS_contig-987000089.fasta	lnc_RNA
SISRS_contig-172000057.fasta	lnc_RNA
SISRS_contig-1832000178.fasta	lnc_RNA
SISRS_contig-1148000182.fasta	lnc_RNA
SISRS_contig-75000137.fasta	lnc_RNA
SISRS_contig-1221000198.fasta	lnc_RNA
SISRS_contig-1222000066.fasta	lnc_RNA
SISRS_contig-626000062.fasta	lnc_RNA
SISRS_contig-834000004.fasta	lnc_RNA
SISRS_contig-1344000180.fasta	lnc_RNA
SISRS_contig-1800000194.fasta	lnc_RNA
SISRS_contig-439000167.fasta	lnc_RNA
SISRS_contig-1246000008.fasta	lnc_RNA
SISRS_contig-149000125.fasta	lnc_RNA
SISRS_contig-1081000165.fasta	lnc_RNA
SISRS_contig-87000097.fasta	lnc_RNA
SISRS_contig-1558000176.fasta	lnc_RNA
SISRS_contig-360000166.fasta	lnc_RNA
SISRS_contig-13000051.fasta	lnc_RNA
SISRS_contig-96000080.fasta	lnc_RNA
SISRS_contig-944000124.fasta	lnc_RNA
SISRS_contig-1505000134.fasta	lnc_RNA
SISRS_contig-338000180.fasta	lnc_RNA
SISRS_contig-419000188.fasta	lnc_RNA
SISRS_contig-145000045.fasta	lnc_RNA
SISRS_contig-1203000150.fasta	lnc_RNA
SISRS_contig-1594000126.fasta	lnc_RNA
SISRS_contig-1689000017.fasta	lnc_RNA
SISRS_contig-1097000192.fasta	lnc_RNA
