"Clade","CDS_concat.fasta_m29","intron_concat.fasta_m29","other_concat.fasta_m29","UTR_concat.fasta_m29","unannotated_concat.fasta_m29","lnc_RNA_concat.fasta_m29"
"AnaPla;GalGal",5243,26719,497,3394,19562,6572
"ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",1779,5112,128,890,3703,1288
"ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PicPub;TauEry;TytAlb",1,21,0,0,17,2
"ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PicPub;TytAlb",0,0,0,0,0,0
"ApaVit;AptFor;BucRhi;CarCri;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;PelCri;PhaLep;PicPub;TytAlb",0,0,0,1,2,0
"ApaVit;BucRhi;CarCri;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",14,119,4,23,96,21
"ApaVit;BucRhi;ColStr;HalLeu;LepDis;MerNub;PicPub;TytAlb",4,33,1,5,26,11
"ApaVit;BucRhi;ColStr;LepDis;MerNub;PicPub",3,15,0,5,21,8
"ApaVit;BucRhi;ColStr;LepDis;MerNub;PicPub;TytAlb",0,10,0,3,11,7
"ApaVit;BucRhi;LepDis;MerNub;PicPub",46,396,12,44,363,112
"ApaVit;BucRhi;MerNub;PicPub",42,251,6,39,213,90
"AptFor;EurHel;FulGla;GavSte;PelCri;PhaLep",6,13,0,1,21,7
"AptFor;FulGla",252,1135,20,131,857,246
"AptFor;FulGla;GavSte;PelCri",31,213,2,20,170,64
"AptFor;FulGla;PelCri",96,552,10,67,426,148
"BalReg;ChaVoc",274,1340,25,134,876,267
"BalReg;ChaVoc;OpiHoa",15,72,1,3,59,25
"BucRhi;MerNub;PicPub",246,942,18,129,703,243
"CarCri;CorBra;FalPer;MelUnd",35,221,2,41,212,64
"ChaPel;ChlMac;CucCan;TauEry",1,10,0,1,5,5
"ChlMac;CucCan;TauEry",35,141,2,13,111,29
"ChlMac;TauEry",405,2131,29,239,1570,480
"ColLiv;MesUni;PhoRub;PteGut",12,83,0,8,56,29
"ColLiv;MesUni;PteGut",45,145,3,28,110,36
"CorBra;FalPer;MelUnd",111,486,12,74,452,145
"CorBra;MelUnd",1014,4059,84,488,3184,1065
"EurHel;PhaLep",424,2235,38,270,1631,514
"MerNub;PicPub",1473,4607,101,634,3527,1135
"MesUni;PteGut",499,2754,62,325,2044,701
