"","Clade","CDS_concat.fasta_m29"
"1","AnaPla;GalGal",5243
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",1779
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",10
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",2
"5","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TytAlb",0
"6","ApaVit;BucRhi;CarCri;ChaPel;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",0
"7","ApaVit;BucRhi;ChaPel;ColStr;CorBra;FalPer;LepDis;MelUnd;MerNub;PicPub;TytAlb",0
"8","ApaVit;BucRhi;ChaPel;ColStr;CorBra;LepDis;MelUnd;MerNub;PicPub",0
"9","ApaVit;LepDis",496
"10","AptFor;BalReg;ChaVoc;EurHel;FulGla;GavSte;OpiHoa;PelCri;PhaLep;PhoRub",0
"11","AptFor;BalReg;ChaVoc;FulGla;GavSte;PelCri;PhaLep;PhoRub",0
"12","AptFor;BalReg;FulGla;GavSte;PelCri;PhoRub",4
"13","AptFor;FulGla",252
"14","AptFor;FulGla;GavSte;PelCri",31
"15","AptFor;FulGla;PelCri",96
"16","BalReg;PhoRub",216
"17","BucRhi;ChaPel;ColStr;CorBra;MelUnd;MerNub;PicPub",1
"18","BucRhi;MerNub;PicPub",246
"19","CarCri;HalLeu",208
"20","ChaPel;ColStr;CorBra;MelUnd",11
"21","ChaPel;CorBra",951
"22","ChaVoc;PhaLep",257
"23","ChlMac;TauEry",405
"24","ColLiv;CucCan",687
"25","ColStr;MelUnd",769
"26","EurHel;OpiHoa",495
"27","FalPer;TytAlb",334
"28","MerNub;PicPub",1473
"29","MesUni;PteGut",499
