"","Clade","UTR_concat.fasta_m29"
"1","AnaPla;GalGal",3394
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",890
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",4
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ChlMac;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"5","ApaVit;BucRhi;CarCri;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",23
"6","ApaVit;BucRhi;ColStr;HalLeu;LepDis;MerNub;PicPub;TytAlb",5
"7","ApaVit;BucRhi;ColStr;LepDis;MerNub;PicPub",5
"8","ApaVit;BucRhi;LepDis;MerNub;PicPub",44
"9","ApaVit;BucRhi;MerNub;PicPub",39
"10","AptFor;BalReg;ChaVoc;ChlMac;EurHel;FulGla;GavSte;OpiHoa;PelCri;PhaLep;PhoRub;TauEry",0
"11","AptFor;ChlMac;EurHel;FulGla;GavSte;PelCri;PhaLep;TauEry",0
"12","AptFor;FulGla",131
"13","AptFor;FulGla;GavSte;PelCri",20
"14","AptFor;FulGla;PelCri",67
"15","BalReg;ChaVoc",134
"16","BalReg;ChaVoc;OpiHoa;PhoRub",1
"17","BucRhi;MerNub;PicPub",129
"18","CarCri;CorBra;FalPer;MelUnd",41
"19","ChaPel;CucCan",369
"20","ChlMac;EurHel;PhaLep;TauEry",2
"21","ChlMac;TauEry",239
"22","ColLiv;MesUni;PteGut",28
"23","CorBra;FalPer;MelUnd",74
"24","CorBra;MelUnd",488
"25","EurHel;PhaLep",270
"26","HalLeu;TytAlb",120
"27","MerNub;PicPub",634
"28","MesUni;PteGut",325
"29","OpiHoa;PhoRub",141
