Clade,CDS_concat.fasta_m29,intron_concat.fasta_m29,other_concat.fasta_m29,UTR_concat.fasta_m29,unannotated_concat.fasta_m29,lnc_RNA_concat.fasta_m29,,
Ducks;Landfowls,5243,26719,497,3394,19562,6572,,
Trogons;Penguins;Cranes;Hornbills;Seriamas;Swifts;Waders;Bustards;Doves;Mousebirds;Passerines;Cuckoos;Sunbitterns;Falcons;Petrels;Loons;Hawks;Cuckoo_rollers;Parrots;Bee-eaters;Mesites;Hoatzin;Pelecans;Tropicbirds;Flamingos;Woodpeckers;Sandgrouses;Turacos;Owls,1779,5112,128,890,3703,1288,,
Trogons;Penguins;Cranes;Hornbills;Seriamas;Swifts;Waders;Bustards;Mousebirds;Passerines;Cuckoos;Sunbitterns;Falcons;Petrels;Loons;Hawks;Cuckoo_rollers;Parrots;Bee-eaters;Hoatzin;Pelecans;Tropicbirds;Woodpeckers;Turacos;Owls,1,21,0,0,17,2,,
Trogons;Penguins;Cranes;Hornbills;Seriamas;Waders;Mousebirds;Passerines;Sunbitterns;Falcons;Petrels;Loons;Hawks;Cuckoo_rollers;Parrots;Bee-eaters;Hoatzin;Pelecans;Tropicbirds;Woodpeckers;Owls,0,0,0,0,0,0,,
Trogons;Penguins;Hornbills;Seriamas;Mousebirds;Passerines;Sunbitterns;Falcons;Petrels;Loons;Hawks;Cuckoo_rollers;Parrots;Bee-eaters;Pelecans;Tropicbirds;Woodpeckers;Owls,0,0,0,1,2,0,,
Trogons;Hornbills;Seriamas;Mousebirds;Passerines;Falcons;Hawks;Cuckoo_rollers;Parrots;Bee-eaters;Woodpeckers;Owls,14,119,4,23,96,21,,
Trogons;Hornbills;Mousebirds;Hawks;Cuckoo_rollers;Bee-eaters;Woodpeckers;Owls,4,33,1,5,26,11,,
Trogons;Hornbills;Mousebirds;Cuckoo_rollers;Bee-eaters;Woodpeckers,3,15,0,5,21,8,,
Trogons;Hornbills;Mousebirds;Cuckoo_rollers;Bee-eaters;Woodpeckers;Owls,0,10,0,3,11,7,,
Trogons;Hornbills;Cuckoo_rollers;Bee-eaters;Woodpeckers,46,396,12,44,363,112,,
Trogons;Hornbills;Bee-eaters;Woodpeckers,42,251,6,39,213,90,,
Penguins;Sunbitterns;Petrels;Loons;Pelecans;Tropicbirds,6,13,0,1,21,7,,
Penguins;Petrels,252,1135,20,131,857,246,,
Penguins;Petrels;Loons;Pelecans,31,213,2,20,170,64,,
Penguins;Petrels;Pelecans,96,552,10,67,426,148,,
Cranes;Waders,274,1340,25,134,876,267,,
Cranes;Waders;Hoatzin,15,72,1,3,59,25,,
Hornbills;Bee-eaters;Woodpeckers,246,942,18,129,703,243,,
Seriamas;Passerines;Falcons;Parrots,35,221,2,41,212,64,,
Swifts;Bustards;Cuckoos;Turacos,1,10,0,1,5,5,,
Bustards;Cuckoos;Turacos,35,141,2,13,111,29,,
Bustards;Turacos,405,2131,29,239,1570,480,,
Doves;Mesites;Flamingos;Sandgrouses,12,83,0,8,56,29,,
Doves;Mesites;Sandgrouses,45,145,3,28,110,36,,
Passerines;Falcons;Parrots,111,486,12,74,452,145,,
Passerines;Parrots,1014,4059,84,488,3184,1065,,
Sunbitterns;Tropicbirds,424,2235,38,270,1631,514,,
Bee-eaters;Woodpeckers,1473,4607,101,634,3527,1135,,
Mesites;Sandgrouses,499,2754,62,325,2044,701,,
,,,,,,,,
,12106,53815,1057,7010,40028,13314,,127330
