Order,Prum_species,Prum_common_name,Jarvis_species,Jarvis_common_name,SpeciesID,Common_order
Passeriformes,Corvus_albus,Pied_crow,Corvus_brachyrhynchos,American_crow,CorBra,Passerines
Psittaciformes,Barnardius_zonarius,Australian_ringneck,Melopsittacus_undulatus,Budgerigar,MelUnd,Parrots
Falconiformes,Falco_sparverius,American_kestrel,Falco_peregrinus,Peregrine_falcon,FalPer,Falcons
Cariamiformes,Cariama_cristata,Red-legged_seriema,Cariama_cristata,Red-legged_seriema,CarCri,Seriamas
Piciformes,Picus_canus,Grey-headed_woopecker,Picoides_pubescens,Downy_woodpecker,PicPub,Woodpeckers
Coraciiformes,Merops_muelleri,Blue-headed_bee-eater,Merops_nubicus,Northern_carmine_bee-eater,MerNub,Bee-eaters
Bucerotiiformes,Bucorvus_leadbeateri,Southern_ground_hornbill,Buceros_rhinoceros,Rhinoceros_hornbill,BucRhi,Hornbills
Trogomiformes,Apaloderma_aequatoriale,Bare-cheeked_trogon,Apaloderma_vittatum,Bar-tailed_trogon,ApaVit,Trogons
Leptosomiformes,Leptosomus_discolor,Cuckoo_roller,Leptosomus_discolor,Cuckoo_roller,LepDis,Cuckoo rollers
Coliiformes,Colius_colius,White-backed_mousebird,Colius_striatus,Speckled_mousebird,ColStr,Mousebirds
Strigiformes,Tyto_alba,Barn_owl,Tyto_alba,Barn_owl,TytAlb,Owls
Accipitriformes,Accipiter_superciliosus,Tiny_hawk,Haliaeetus_albicilla,White-tailed eagle,HalLeu,Hawks
Opisthocomiformes,Opisthocomus_hoazin,Hoatzin,Opisthocomus_hoazin,Hoatzin,OpiHoa,Hoatzin
Pelecaniformes,Pelecanus_occidentalis,Brown_pelican,Pelecanus_crispus,Dalmatian_pelican,PelCri,Pelecans
Procellariiformes,Fulmarus_glacialis,Northern_Fulmar,Fulmarus_glacialoides,Southern_fulmar,FulGla,Petrels
Sphenisciformes,Spheniscus_humboldti,Humboldt_penguin,Aptenodytes_forsteri,Emperor_penguin,AptFor,Penguins
Gaviiformes,Gavia_immer,Common_loon,Gavia_stellata,Red-throated_loon,GavSte,Loons
Phaethontiformes,Phaethon_rubricauda,Red-tailed_tropicbird,Phaethon_lepturus,White-tailed_tropicbird,PhaLep,Tropicbirds
Eurypygiformes,Eurypyga_helias,Sunbittern,Eurypyga_helias,Sunbittern,EurHel,Sunbitterns
Charadriiformes,Charadrius_hiaticula,Ringed_plover,Charadrius_vociferus,Killdeer,ChaVoc,Waders
Phoenicopteriformes,Phoenicopterus_ruber,American_flamingo,Phoenicopterus_ruber,American_flamingo,PhoRub,Flamingos
Gruiformes,Balearica_regulorum,Grey_crowned_crane,Balearica_regulorum,Grey_crowned_crane,BalReg,Cranes
Columbiformes,Columba_livia,Rock_dove,Columba_livia,Rock_dove,ColLiv,Doves
Pterocliformes,Pterocles_bicinctus,Double-banded_sandgrouse,Pterocles_gutturalis,Yellow-throated_sandgrouse,PteGut,Sandgrouses
Mesitornithiformes,Mesitornis_unicolor,Brown_mesite,Mesitornis_unicolor,Brown_mesite,MesUni,Mesites
Cuculiformes,Cuculus_optatus,Oriental_cuckoo,Cuculus_canorus,Common_cuckoo,CucCan,Cuckoos
Otidiformes,Ardeotis_kori,Kori_bustard,Chlamydotis_macqueenii,MacQueen's_bustard,ChlMac,Bustards
Musophagiformes,Tauraco_macrorhynchus,Yellow-billed_turaco,Tauraco_erythrolophus,Red-crested_turaco,TauEry,Turacos
Apodiformes,Chaetura_brachyura,Short-Tailed_swift,Chaetura_pelagica,Chimney_swift,ChaPel,Swifts
Galliformes,Gallus_gallus,Red_junglefowl,Gallus_gallus,Red_junglefowl,GalGal,Landfowls
Anseriformes,Anas_superciliosa,Pacific_black_duck,Anas_platyrhynchos,Mallard,AnaPla,Ducks
Struthioniformes,Struthio_camelus,Ostrich,Struthio_camelus,Ostrich,StrCam,Ostrich
