Alignment_name	Locus_type
SISRS_contig-228000066.fasta	other
SISRS_contig-1401000028.fasta	other
SISRS_contig-553000145.fasta	other
SISRS_contig-131000027.fasta	other
SISRS_contig-39000139.fasta	other
SISRS_contig-1079000153.fasta	other
SISRS_contig-40000039.fasta	other
SISRS_contig-442000002.fasta	other
SISRS_contig-368000115.fasta	other
SISRS_contig-1160000104.fasta	other
SISRS_contig-622000149.fasta	other
SISRS_contig-116000164.fasta	other
SISRS_contig-1342000122.fasta	other
SISRS_contig-1303000056.fasta	other
SISRS_contig-278000162.fasta	other
SISRS_contig-65000174.fasta	other
SISRS_contig-1349000039.fasta	other
SISRS_contig-148000191.fasta	other
SISRS_contig-1794000098.fasta	other
SISRS_contig-1135000048.fasta	other
SISRS_contig-1171000125.fasta	other
SISRS_contig-849000180.fasta	other
SISRS_contig-1063000072.fasta	other
SISRS_contig-1317000152.fasta	other
SISRS_contig-1316000021.fasta	other
SISRS_contig-915000054.fasta	other
SISRS_contig-1568000091.fasta	other
SISRS_contig-754000036.fasta	other
SISRS_contig-377000142.fasta	other
SISRS_contig-1163000096.fasta	other
SISRS_contig-561000092.fasta	other
SISRS_contig-1494000091.fasta	other
SISRS_contig-1472000002.fasta	other
SISRS_contig-1216000192.fasta	other
SISRS_contig-1147000013.fasta	other
SISRS_contig-1086000165.fasta	other
SISRS_contig-574000140.fasta	other
SISRS_contig-990000081.fasta	other
SISRS_contig-182000032.fasta	other
SISRS_contig-443000092.fasta	other
SISRS_contig-1316000047.fasta	other
SISRS_contig-985000051.fasta	other
SISRS_contig-1326000157.fasta	other
SISRS_contig-524000119.fasta	other
SISRS_contig-1621000070.fasta	other
SISRS_contig-887000110.fasta	other
SISRS_contig-430000089.fasta	other
SISRS_contig-195000154.fasta	other
SISRS_contig-123000051.fasta	other
SISRS_contig-126000036.fasta	other
SISRS_contig-1289000139.fasta	other
SISRS_contig-166000077.fasta	other
SISRS_contig-1756000040.fasta	other
SISRS_contig-210000015.fasta	other
SISRS_contig-1118000110.fasta	other
SISRS_contig-788000109.fasta	other
SISRS_contig-1055000024.fasta	other
SISRS_contig-1268000097.fasta	other
SISRS_contig-166000084.fasta	other
SISRS_contig-34000154.fasta	other
SISRS_contig-1463000035.fasta	other
SISRS_contig-1188000197.fasta	other
SISRS_contig-102000075.fasta	other
SISRS_contig-998000103.fasta	other
SISRS_contig-1569000053.fasta	other
SISRS_contig-1017000179.fasta	other
SISRS_contig-1482000012.fasta	other
SISRS_contig-642000102.fasta	other
SISRS_contig-369000193.fasta	other
SISRS_contig-12000114.fasta	other
SISRS_contig-620000133.fasta	other
SISRS_contig-399000135.fasta	other
SISRS_contig-1443000112.fasta	other
SISRS_contig-197000006.fasta	other
SISRS_contig-395000127.fasta	other
SISRS_contig-628000133.fasta	other
SISRS_contig-867000046.fasta	other
SISRS_contig-59000032.fasta	other
SISRS_contig-32000057.fasta	other
SISRS_contig-1239000074.fasta	other
SISRS_contig-99000151.fasta	other
SISRS_contig-758000033.fasta	other
SISRS_contig-101000031.fasta	other
SISRS_contig-443000076.fasta	other
SISRS_contig-514000100.fasta	other
SISRS_contig-384000171.fasta	other
SISRS_contig-554000182.fasta	other
SISRS_contig-123000024.fasta	other
SISRS_contig-1226000196.fasta	other
SISRS_contig-191000192.fasta	other
SISRS_contig-1140000054.fasta	other
SISRS_contig-1464000029.fasta	other
SISRS_contig-853000068.fasta	other
SISRS_contig-270000126.fasta	other
SISRS_contig-1119000080.fasta	other
SISRS_contig-1263000156.fasta	other
SISRS_contig-23000033.fasta	other
SISRS_contig-987000084.fasta	other
SISRS_contig-526000102.fasta	other
SISRS_contig-758000028.fasta	other
SISRS_contig-843000086.fasta	other
SISRS_contig-889000161.fasta	other
SISRS_contig-1009000053.fasta	other
SISRS_contig-1607000133.fasta	other
SISRS_contig-29000110.fasta	other
SISRS_contig-1018000140.fasta	other
SISRS_contig-106000021.fasta	other
SISRS_contig-238000105.fasta	other
SISRS_contig-1547000175.fasta	other
SISRS_contig-34000105.fasta	other
SISRS_contig-1155000037.fasta	other
SISRS_contig-1363000050.fasta	other
SISRS_contig-883000163.fasta	other
SISRS_contig-1509000016.fasta	other
SISRS_contig-900000042.fasta	other
SISRS_contig-1459000018.fasta	other
SISRS_contig-1373000016.fasta	other
SISRS_contig-411000106.fasta	other
SISRS_contig-928000114.fasta	other
SISRS_contig-680000115.fasta	other
SISRS_contig-256000056.fasta	other
SISRS_contig-153000037.fasta	other
SISRS_contig-1599000049.fasta	other
SISRS_contig-147000119.fasta	other
SISRS_contig-196000091.fasta	other
SISRS_contig-1242000021.fasta	other
SISRS_contig-852000095.fasta	other
SISRS_contig-1303000083.fasta	other
SISRS_contig-878000041.fasta	other
SISRS_contig-952000050.fasta	other
SISRS_contig-1370000136.fasta	other
SISRS_contig-1190000121.fasta	other
SISRS_contig-1213000066.fasta	other
SISRS_contig-176000017.fasta	other
SISRS_contig-1717000171.fasta	other
SISRS_contig-172000171.fasta	other
SISRS_contig-214000057.fasta	other
SISRS_contig-1076000089.fasta	other
SISRS_contig-32000032.fasta	other
SISRS_contig-1212000030.fasta	other
SISRS_contig-81000133.fasta	other
SISRS_contig-873000004.fasta	other
SISRS_contig-38000058.fasta	other
SISRS_contig-497000175.fasta	other
SISRS_contig-120000022.fasta	other
SISRS_contig-71000122.fasta	other
SISRS_contig-39000053.fasta	other
SISRS_contig-1165000183.fasta	other
SISRS_contig-885000066.fasta	other
SISRS_contig-163000117.fasta	other
SISRS_contig-805000078.fasta	other
SISRS_contig-44000106.fasta	other
SISRS_contig-1266000123.fasta	other
SISRS_contig-1205000025.fasta	other
SISRS_contig-1029000060.fasta	other
SISRS_contig-141000076.fasta	other
SISRS_contig-983000163.fasta	other
SISRS_contig-1679000194.fasta	other
SISRS_contig-835000098.fasta	other
SISRS_contig-400000088.fasta	other
SISRS_contig-795000049.fasta	other
SISRS_contig-422000028.fasta	other
SISRS_contig-485000187.fasta	other
SISRS_contig-207000168.fasta	other
SISRS_contig-902000043.fasta	other
SISRS_contig-1212000123.fasta	other
SISRS_contig-310000193.fasta	other
SISRS_contig-442000138.fasta	other
SISRS_contig-1403000044.fasta	other
SISRS_contig-1496000035.fasta	other
SISRS_contig-978000067.fasta	other
SISRS_contig-54000099.fasta	other
SISRS_contig-202000022.fasta	other
SISRS_contig-1031000168.fasta	other
SISRS_contig-155000009.fasta	other
SISRS_contig-1668000072.fasta	other
SISRS_contig-819000050.fasta	other
SISRS_contig-1211000109.fasta	other
SISRS_contig-279000045.fasta	other
SISRS_contig-214000040.fasta	other
SISRS_contig-400000023.fasta	other
SISRS_contig-1160000043.fasta	other
SISRS_contig-1155000103.fasta	other
SISRS_contig-483000071.fasta	other
SISRS_contig-371000144.fasta	other
SISRS_contig-236000068.fasta	other
SISRS_contig-28000040.fasta	other
SISRS_contig-1596000148.fasta	other
SISRS_contig-108000138.fasta	other
SISRS_contig-61000184.fasta	other
SISRS_contig-235000092.fasta	other
SISRS_contig-1445000098.fasta	other
SISRS_contig-464000047.fasta	other
SISRS_contig-899000072.fasta	other
SISRS_contig-434000081.fasta	other
SISRS_contig-190000051.fasta	other
SISRS_contig-923000182.fasta	other
SISRS_contig-373000127.fasta	other
SISRS_contig-639000161.fasta	other
SISRS_contig-1169000049.fasta	other
SISRS_contig-333000154.fasta	other
SISRS_contig-1782000194.fasta	other
SISRS_contig-64000155.fasta	other
SISRS_contig-145000075.fasta	other
SISRS_contig-508000029.fasta	other
SISRS_contig-321000177.fasta	other
SISRS_contig-859000168.fasta	other
SISRS_contig-384000156.fasta	other
SISRS_contig-436000018.fasta	other
SISRS_contig-261000140.fasta	other
SISRS_contig-588000160.fasta	other
SISRS_contig-1028000073.fasta	other
SISRS_contig-695000135.fasta	other
SISRS_contig-338000095.fasta	other
SISRS_contig-33000095.fasta	other
SISRS_contig-491000156.fasta	other
SISRS_contig-1343000091.fasta	other
SISRS_contig-289000131.fasta	other
SISRS_contig-895000094.fasta	other
SISRS_contig-210000173.fasta	other
SISRS_contig-129000066.fasta	other
SISRS_contig-1541000139.fasta	other
SISRS_contig-1710000161.fasta	other
SISRS_contig-947000171.fasta	other
SISRS_contig-1137000120.fasta	other
SISRS_contig-1355000107.fasta	other
SISRS_contig-858000013.fasta	other
SISRS_contig-1392000095.fasta	other
SISRS_contig-967000043.fasta	other
SISRS_contig-264000069.fasta	other
SISRS_contig-964000072.fasta	other
SISRS_contig-503000093.fasta	other
SISRS_contig-114000100.fasta	other
SISRS_contig-1092000195.fasta	other
SISRS_contig-999000089.fasta	other
SISRS_contig-121000110.fasta	other
SISRS_contig-494000179.fasta	other
SISRS_contig-979000097.fasta	other
SISRS_contig-39000039.fasta	other
SISRS_contig-1721000043.fasta	other
SISRS_contig-1257000013.fasta	other
SISRS_contig-1273000133.fasta	other
SISRS_contig-885000133.fasta	other
SISRS_contig-211000082.fasta	other
SISRS_contig-6000140.fasta	other
SISRS_contig-956000155.fasta	other
SISRS_contig-981000140.fasta	other
SISRS_contig-7000118.fasta	other
SISRS_contig-885000181.fasta	other
SISRS_contig-1346000093.fasta	other
SISRS_contig-1154000048.fasta	other
SISRS_contig-77000159.fasta	other
SISRS_contig-203000088.fasta	other
SISRS_contig-220000038.fasta	other
SISRS_contig-659000100.fasta	other
SISRS_contig-1786000122.fasta	other
SISRS_contig-1131000128.fasta	other
SISRS_contig-492000007.fasta	other
SISRS_contig-306000104.fasta	other
SISRS_contig-1031000015.fasta	other
SISRS_contig-217000132.fasta	other
SISRS_contig-57000109.fasta	other
SISRS_contig-345000138.fasta	other
SISRS_contig-4000183.fasta	other
SISRS_contig-1225000079.fasta	other
SISRS_contig-1005000075.fasta	other
SISRS_contig-552000119.fasta	other
SISRS_contig-1500000192.fasta	other
SISRS_contig-1296000182.fasta	other
SISRS_contig-5000179.fasta	other
SISRS_contig-1026000131.fasta	other
SISRS_contig-1642000088.fasta	other
SISRS_contig-638000016.fasta	other
SISRS_contig-223000130.fasta	other
SISRS_contig-271000066.fasta	other
SISRS_contig-917000012.fasta	other
SISRS_contig-1507000006.fasta	other
SISRS_contig-1388000105.fasta	other
SISRS_contig-117000053.fasta	other
SISRS_contig-276000031.fasta	other
SISRS_contig-499000165.fasta	other
SISRS_contig-248000040.fasta	other
SISRS_contig-856000069.fasta	other
SISRS_contig-1028000129.fasta	other
SISRS_contig-1477000037.fasta	other
SISRS_contig-358000108.fasta	other
SISRS_contig-567000036.fasta	other
SISRS_contig-1337000010.fasta	other
SISRS_contig-97000088.fasta	other
SISRS_contig-249000194.fasta	other
SISRS_contig-1112000052.fasta	other
SISRS_contig-456000101.fasta	other
SISRS_contig-881000187.fasta	other
SISRS_contig-289000183.fasta	other
SISRS_contig-1311000076.fasta	other
SISRS_contig-1398000090.fasta	other
SISRS_contig-639000059.fasta	other
SISRS_contig-443000127.fasta	other
SISRS_contig-1704000020.fasta	other
SISRS_contig-325000010.fasta	other
SISRS_contig-983000187.fasta	other
SISRS_contig-973000003.fasta	other
SISRS_contig-1374000132.fasta	other
SISRS_contig-1491000006.fasta	other
SISRS_contig-1201000157.fasta	other
SISRS_contig-743000105.fasta	other
SISRS_contig-1104000109.fasta	other
SISRS_contig-317000044.fasta	other
SISRS_contig-128000054.fasta	other
SISRS_contig-262000186.fasta	other
SISRS_contig-176000149.fasta	other
SISRS_contig-21000061.fasta	other
SISRS_contig-250000147.fasta	other
SISRS_contig-38000129.fasta	other
SISRS_contig-14000079.fasta	other
SISRS_contig-1220000089.fasta	other
SISRS_contig-1715000127.fasta	other
SISRS_contig-419000012.fasta	other
SISRS_contig-1299000163.fasta	other
SISRS_contig-1020000186.fasta	other
SISRS_contig-1562000128.fasta	other
SISRS_contig-589000053.fasta	other
SISRS_contig-1110000040.fasta	other
SISRS_contig-3000014.fasta	other
SISRS_contig-291000132.fasta	other
SISRS_contig-1285000143.fasta	other
SISRS_contig-1216000164.fasta	other
SISRS_contig-1214000003.fasta	other
SISRS_contig-1079000103.fasta	other
SISRS_contig-859000067.fasta	other
SISRS_contig-1128000101.fasta	other
SISRS_contig-116000025.fasta	other
SISRS_contig-1273000199.fasta	other
SISRS_contig-331000195.fasta	other
SISRS_contig-114000161.fasta	other
SISRS_contig-1768000092.fasta	other
SISRS_contig-1224000164.fasta	other
SISRS_contig-524000049.fasta	other
SISRS_contig-1577000048.fasta	other
SISRS_contig-637000081.fasta	other
SISRS_contig-250000013.fasta	other
SISRS_contig-1335000115.fasta	other
SISRS_contig-1181000054.fasta	other
SISRS_contig-97000121.fasta	other
SISRS_contig-867000059.fasta	other
SISRS_contig-1223000157.fasta	other
SISRS_contig-1207000159.fasta	other
SISRS_contig-232000112.fasta	other
SISRS_contig-802000072.fasta	other
SISRS_contig-77000008.fasta	other
SISRS_contig-462000023.fasta	other
SISRS_contig-161000188.fasta	other
SISRS_contig-1590000141.fasta	other
SISRS_contig-1378000097.fasta	other
SISRS_contig-590000191.fasta	other
SISRS_contig-332000127.fasta	other
SISRS_contig-341000006.fasta	other
SISRS_contig-1772000056.fasta	other
SISRS_contig-1396000085.fasta	other
SISRS_contig-1272000128.fasta	other
SISRS_contig-44000085.fasta	other
SISRS_contig-26000196.fasta	other
SISRS_contig-50000125.fasta	other
SISRS_contig-132000132.fasta	other
SISRS_contig-712000182.fasta	other
SISRS_contig-58000000.fasta	other
SISRS_contig-240000073.fasta	other
SISRS_contig-255000124.fasta	other
SISRS_contig-803000021.fasta	other
SISRS_contig-439000037.fasta	other
SISRS_contig-1173000129.fasta	other
SISRS_contig-784000040.fasta	other
SISRS_contig-1617000088.fasta	other
SISRS_contig-245000020.fasta	other
SISRS_contig-872000028.fasta	other
SISRS_contig-660000052.fasta	other
SISRS_contig-273000101.fasta	other
SISRS_contig-832000075.fasta	other
SISRS_contig-1184000191.fasta	other
SISRS_contig-876000055.fasta	other
SISRS_contig-336000136.fasta	other
SISRS_contig-1333000108.fasta	other
SISRS_contig-183000176.fasta	other
SISRS_contig-1362000104.fasta	other
SISRS_contig-1432000166.fasta	other
SISRS_contig-1833000016.fasta	other
SISRS_contig-856000199.fasta	other
SISRS_contig-175000040.fasta	other
SISRS_contig-1104000022.fasta	other
SISRS_contig-748000018.fasta	other
SISRS_contig-891000128.fasta	other
SISRS_contig-1220000136.fasta	other
SISRS_contig-379000063.fasta	other
SISRS_contig-28000183.fasta	other
SISRS_contig-858000057.fasta	other
SISRS_contig-24000013.fasta	other
SISRS_contig-379000091.fasta	other
SISRS_contig-12000063.fasta	other
SISRS_contig-36000194.fasta	other
SISRS_contig-192000119.fasta	other
SISRS_contig-1156000082.fasta	other
SISRS_contig-1214000041.fasta	other
SISRS_contig-1064000164.fasta	other
SISRS_contig-1186000003.fasta	other
SISRS_contig-193000047.fasta	other
