Alignment_name	Locus_type
SISRS_contig-1751000117.fasta	CDS
SISRS_contig-1582000016.fasta	CDS
SISRS_contig-1444000131.fasta	CDS
SISRS_contig-1398000071.fasta	CDS
SISRS_contig-1115000184.fasta	CDS
SISRS_contig-1635000142.fasta	CDS
SISRS_contig-25000048.fasta	CDS
SISRS_contig-58000124.fasta	CDS
SISRS_contig-873000148.fasta	CDS
SISRS_contig-6000151.fasta	CDS
SISRS_contig-26000166.fasta	CDS
SISRS_contig-55000153.fasta	CDS
SISRS_contig-936000106.fasta	CDS
SISRS_contig-1214000175.fasta	CDS
SISRS_contig-1304000065.fasta	CDS
SISRS_contig-1345000159.fasta	CDS
SISRS_contig-921000089.fasta	CDS
SISRS_contig-102000027.fasta	CDS
SISRS_contig-1555000045.fasta	CDS
SISRS_contig-1233000054.fasta	CDS
SISRS_contig-1482000126.fasta	CDS
SISRS_contig-772000168.fasta	CDS
SISRS_contig-876000077.fasta	CDS
SISRS_contig-991000157.fasta	CDS
SISRS_contig-191000166.fasta	CDS
SISRS_contig-1204000048.fasta	CDS
SISRS_contig-600000142.fasta	CDS
SISRS_contig-1549000011.fasta	CDS
SISRS_contig-1003000179.fasta	CDS
SISRS_contig-553000017.fasta	CDS
SISRS_contig-4000112.fasta	CDS
SISRS_contig-1207000167.fasta	CDS
SISRS_contig-1647000078.fasta	CDS
SISRS_contig-1111000007.fasta	CDS
SISRS_contig-996000045.fasta	CDS
SISRS_contig-1060000066.fasta	CDS
SISRS_contig-263000170.fasta	CDS
SISRS_contig-312000078.fasta	CDS
SISRS_contig-1208000154.fasta	CDS
SISRS_contig-1015000133.fasta	CDS
SISRS_contig-1093000026.fasta	CDS
SISRS_contig-259000016.fasta	CDS
SISRS_contig-343000067.fasta	CDS
SISRS_contig-1499000159.fasta	CDS
SISRS_contig-307000008.fasta	CDS
SISRS_contig-1725000199.fasta	CDS
SISRS_contig-452000120.fasta	CDS
SISRS_contig-161000057.fasta	CDS
SISRS_contig-918000132.fasta	CDS
SISRS_contig-566000082.fasta	CDS
SISRS_contig-267000139.fasta	CDS
SISRS_contig-1199000162.fasta	CDS
SISRS_contig-265000035.fasta	CDS
SISRS_contig-771000007.fasta	CDS
SISRS_contig-219000118.fasta	CDS
SISRS_contig-586000016.fasta	CDS
SISRS_contig-1485000176.fasta	CDS
SISRS_contig-1148000049.fasta	CDS
SISRS_contig-976000080.fasta	CDS
SISRS_contig-318000173.fasta	CDS
SISRS_contig-270000026.fasta	CDS
SISRS_contig-1360000175.fasta	CDS
SISRS_contig-1574000065.fasta	CDS
SISRS_contig-1417000180.fasta	CDS
SISRS_contig-713000190.fasta	CDS
SISRS_contig-161000128.fasta	CDS
SISRS_contig-624000094.fasta	CDS
SISRS_contig-994000017.fasta	CDS
SISRS_contig-1115000078.fasta	CDS
SISRS_contig-570000142.fasta	CDS
SISRS_contig-858000167.fasta	CDS
SISRS_contig-1393000009.fasta	CDS
SISRS_contig-486000057.fasta	CDS
SISRS_contig-1301000102.fasta	CDS
SISRS_contig-1006000049.fasta	CDS
SISRS_contig-1568000059.fasta	CDS
SISRS_contig-1282000035.fasta	CDS
SISRS_contig-117000111.fasta	CDS
SISRS_contig-918000172.fasta	CDS
SISRS_contig-208000181.fasta	CDS
SISRS_contig-823000008.fasta	CDS
SISRS_contig-1013000190.fasta	CDS
SISRS_contig-943000186.fasta	CDS
SISRS_contig-241000109.fasta	CDS
SISRS_contig-464000143.fasta	CDS
SISRS_contig-1002000144.fasta	CDS
SISRS_contig-1117000059.fasta	CDS
SISRS_contig-1325000197.fasta	CDS
SISRS_contig-374000145.fasta	CDS
SISRS_contig-1342000094.fasta	CDS
SISRS_contig-543000088.fasta	CDS
SISRS_contig-1443000060.fasta	CDS
SISRS_contig-1172000195.fasta	CDS
SISRS_contig-1513000185.fasta	CDS
SISRS_contig-1098000030.fasta	CDS
SISRS_contig-867000190.fasta	CDS
SISRS_contig-1036000080.fasta	CDS
SISRS_contig-790000177.fasta	CDS
SISRS_contig-1086000000.fasta	CDS
SISRS_contig-2000052.fasta	CDS
SISRS_contig-938000169.fasta	CDS
SISRS_contig-108000184.fasta	CDS
SISRS_contig-214000133.fasta	CDS
SISRS_contig-1441000022.fasta	CDS
SISRS_contig-430000030.fasta	CDS
SISRS_contig-129000116.fasta	CDS
SISRS_contig-1517000080.fasta	CDS
SISRS_contig-840000133.fasta	CDS
SISRS_contig-195000068.fasta	CDS
SISRS_contig-1633000115.fasta	CDS
SISRS_contig-1490000046.fasta	CDS
SISRS_contig-466000165.fasta	CDS
SISRS_contig-947000154.fasta	CDS
SISRS_contig-1104000187.fasta	CDS
SISRS_contig-914000177.fasta	CDS
SISRS_contig-363000110.fasta	CDS
SISRS_contig-1355000131.fasta	CDS
SISRS_contig-1096000136.fasta	CDS
SISRS_contig-1351000017.fasta	CDS
SISRS_contig-1172000046.fasta	CDS
SISRS_contig-968000151.fasta	CDS
SISRS_contig-1029000155.fasta	CDS
SISRS_contig-1050000016.fasta	CDS
SISRS_contig-1034000193.fasta	CDS
SISRS_contig-127000093.fasta	CDS
SISRS_contig-1480000021.fasta	CDS
SISRS_contig-1267000173.fasta	CDS
SISRS_contig-1451000063.fasta	CDS
SISRS_contig-1144000149.fasta	CDS
SISRS_contig-1372000098.fasta	CDS
SISRS_contig-129000036.fasta	CDS
SISRS_contig-1681000004.fasta	CDS
SISRS_contig-1378000077.fasta	CDS
SISRS_contig-1488000059.fasta	CDS
SISRS_contig-261000051.fasta	CDS
SISRS_contig-63000192.fasta	CDS
SISRS_contig-492000186.fasta	CDS
SISRS_contig-212000002.fasta	CDS
SISRS_contig-1360000159.fasta	CDS
SISRS_contig-1226000010.fasta	CDS
SISRS_contig-950000128.fasta	CDS
SISRS_contig-369000199.fasta	CDS
SISRS_contig-405000017.fasta	CDS
SISRS_contig-846000143.fasta	CDS
SISRS_contig-428000187.fasta	CDS
SISRS_contig-138000076.fasta	CDS
SISRS_contig-140000168.fasta	CDS
SISRS_contig-943000156.fasta	CDS
SISRS_contig-778000015.fasta	CDS
SISRS_contig-50000136.fasta	CDS
SISRS_contig-119000121.fasta	CDS
SISRS_contig-316000065.fasta	CDS
SISRS_contig-1267000191.fasta	CDS
SISRS_contig-936000040.fasta	CDS
SISRS_contig-556000020.fasta	CDS
SISRS_contig-1239000037.fasta	CDS
SISRS_contig-213000182.fasta	CDS
SISRS_contig-740000081.fasta	CDS
SISRS_contig-645000025.fasta	CDS
SISRS_contig-418000163.fasta	CDS
SISRS_contig-1177000035.fasta	CDS
SISRS_contig-1759000176.fasta	CDS
SISRS_contig-245000194.fasta	CDS
SISRS_contig-1779000066.fasta	CDS
SISRS_contig-1508000051.fasta	CDS
SISRS_contig-366000063.fasta	CDS
SISRS_contig-1376000146.fasta	CDS
SISRS_contig-1275000036.fasta	CDS
SISRS_contig-1449000001.fasta	CDS
SISRS_contig-1178000074.fasta	CDS
SISRS_contig-1497000081.fasta	CDS
SISRS_contig-1472000042.fasta	CDS
SISRS_contig-1194000074.fasta	CDS
SISRS_contig-444000152.fasta	CDS
SISRS_contig-1871000132.fasta	CDS
SISRS_contig-301000154.fasta	CDS
SISRS_contig-798000186.fasta	CDS
SISRS_contig-1515000121.fasta	CDS
SISRS_contig-1066000095.fasta	CDS
SISRS_contig-1440000100.fasta	CDS
SISRS_contig-1476000073.fasta	CDS
SISRS_contig-1628000104.fasta	CDS
SISRS_contig-1565000099.fasta	CDS
SISRS_contig-916000044.fasta	CDS
SISRS_contig-1503000188.fasta	CDS
SISRS_contig-984000149.fasta	CDS
SISRS_contig-1506000075.fasta	CDS
SISRS_contig-1390000073.fasta	CDS
SISRS_contig-1463000097.fasta	CDS
SISRS_contig-1098000117.fasta	CDS
SISRS_contig-976000053.fasta	CDS
SISRS_contig-360000184.fasta	CDS
SISRS_contig-1591000196.fasta	CDS
SISRS_contig-975000022.fasta	CDS
SISRS_contig-127000029.fasta	CDS
SISRS_contig-1128000170.fasta	CDS
SISRS_contig-1698000068.fasta	CDS
SISRS_contig-1243000032.fasta	CDS
SISRS_contig-2000158.fasta	CDS
SISRS_contig-282000086.fasta	CDS
SISRS_contig-1036000142.fasta	CDS
SISRS_contig-60000128.fasta	CDS
SISRS_contig-534000017.fasta	CDS
SISRS_contig-185000102.fasta	CDS
SISRS_contig-1230000065.fasta	CDS
SISRS_contig-1332000054.fasta	CDS
SISRS_contig-106000168.fasta	CDS
SISRS_contig-207000038.fasta	CDS
SISRS_contig-1381000122.fasta	CDS
SISRS_contig-599000185.fasta	CDS
SISRS_contig-903000042.fasta	CDS
SISRS_contig-1252000018.fasta	CDS
SISRS_contig-82000044.fasta	CDS
SISRS_contig-1302000114.fasta	CDS
SISRS_contig-54000032.fasta	CDS
SISRS_contig-668000012.fasta	CDS
SISRS_contig-1620000101.fasta	CDS
SISRS_contig-1255000131.fasta	CDS
SISRS_contig-942000018.fasta	CDS
SISRS_contig-1726000071.fasta	CDS
SISRS_contig-1761000121.fasta	CDS
SISRS_contig-552000179.fasta	CDS
SISRS_contig-1446000173.fasta	CDS
SISRS_contig-1296000145.fasta	CDS
SISRS_contig-909000130.fasta	CDS
SISRS_contig-379000102.fasta	CDS
SISRS_contig-378000147.fasta	CDS
SISRS_contig-1059000130.fasta	CDS
SISRS_contig-777000101.fasta	CDS
SISRS_contig-354000096.fasta	CDS
SISRS_contig-902000003.fasta	CDS
SISRS_contig-104000158.fasta	CDS
SISRS_contig-355000000.fasta	CDS
SISRS_contig-948000147.fasta	CDS
SISRS_contig-1441000111.fasta	CDS
SISRS_contig-846000000.fasta	CDS
SISRS_contig-1374000109.fasta	CDS
SISRS_contig-813000084.fasta	CDS
SISRS_contig-1031000186.fasta	CDS
SISRS_contig-1238000011.fasta	CDS
SISRS_contig-1788000045.fasta	CDS
SISRS_contig-372000025.fasta	CDS
SISRS_contig-446000007.fasta	CDS
SISRS_contig-753000035.fasta	CDS
SISRS_contig-303000052.fasta	CDS
SISRS_contig-1266000157.fasta	CDS
SISRS_contig-1295000059.fasta	CDS
