Alignment_name	Locus_type
SISRS_contig-1046000164.fasta	unannotated
SISRS_contig-176000095.fasta	unannotated
SISRS_contig-816000174.fasta	unannotated
SISRS_contig-955000006.fasta	unannotated
SISRS_contig-1809000038.fasta	unannotated
SISRS_contig-403000182.fasta	unannotated
SISRS_contig-1440000088.fasta	unannotated
SISRS_contig-1273000011.fasta	unannotated
SISRS_contig-933000033.fasta	unannotated
SISRS_contig-903000181.fasta	unannotated
SISRS_contig-1159000018.fasta	unannotated
SISRS_contig-1375000165.fasta	unannotated
SISRS_contig-1691000136.fasta	unannotated
SISRS_contig-1697000102.fasta	unannotated
SISRS_contig-964000084.fasta	unannotated
SISRS_contig-758000022.fasta	unannotated
SISRS_contig-1151000091.fasta	unannotated
SISRS_contig-497000181.fasta	unannotated
SISRS_contig-1019000152.fasta	unannotated
SISRS_contig-1478000058.fasta	unannotated
SISRS_contig-1080000044.fasta	unannotated
SISRS_contig-1056000014.fasta	unannotated
SISRS_contig-254000136.fasta	unannotated
SISRS_contig-1220000096.fasta	unannotated
SISRS_contig-1201000148.fasta	unannotated
SISRS_contig-876000186.fasta	unannotated
SISRS_contig-749000163.fasta	unannotated
SISRS_contig-1703000185.fasta	unannotated
SISRS_contig-1277000180.fasta	unannotated
SISRS_contig-763000124.fasta	unannotated
SISRS_contig-1394000022.fasta	unannotated
SISRS_contig-973000040.fasta	unannotated
SISRS_contig-1309000010.fasta	unannotated
SISRS_contig-1551000090.fasta	unannotated
SISRS_contig-561000132.fasta	unannotated
SISRS_contig-1438000076.fasta	unannotated
SISRS_contig-1839000089.fasta	unannotated
SISRS_contig-1098000158.fasta	unannotated
SISRS_contig-746000177.fasta	unannotated
SISRS_contig-1309000197.fasta	unannotated
SISRS_contig-1448000090.fasta	unannotated
SISRS_contig-685000084.fasta	unannotated
SISRS_contig-1192000068.fasta	unannotated
SISRS_contig-825000082.fasta	unannotated
SISRS_contig-179000022.fasta	unannotated
SISRS_contig-1019000182.fasta	unannotated
SISRS_contig-979000177.fasta	unannotated
SISRS_contig-316000125.fasta	unannotated
SISRS_contig-750000058.fasta	unannotated
SISRS_contig-1554000133.fasta	unannotated
SISRS_contig-494000141.fasta	unannotated
SISRS_contig-806000118.fasta	unannotated
SISRS_contig-513000119.fasta	unannotated
SISRS_contig-1194000129.fasta	unannotated
SISRS_contig-1221000026.fasta	unannotated
SISRS_contig-610000152.fasta	unannotated
SISRS_contig-158000151.fasta	unannotated
SISRS_contig-1597000149.fasta	unannotated
SISRS_contig-1360000182.fasta	unannotated
SISRS_contig-173000118.fasta	unannotated
SISRS_contig-1139000179.fasta	unannotated
SISRS_contig-187000098.fasta	unannotated
SISRS_contig-801000122.fasta	unannotated
SISRS_contig-52000088.fasta	unannotated
SISRS_contig-373000121.fasta	unannotated
