Alignment_name	Locus_type
SISRS_contig-18000120.fasta	intron
SISRS_contig-10000093.fasta	intron
SISRS_contig-14000069.fasta	intron
SISRS_contig-655000128.fasta	intron
SISRS_contig-1734000069.fasta	intron
SISRS_contig-715000020.fasta	intron
SISRS_contig-1533000048.fasta	intron
SISRS_contig-927000106.fasta	intron
SISRS_contig-991000109.fasta	intron
SISRS_contig-800000058.fasta	intron
SISRS_contig-1047000087.fasta	intron
SISRS_contig-1158000067.fasta	intron
SISRS_contig-1658000006.fasta	intron
SISRS_contig-573000197.fasta	intron
SISRS_contig-1419000064.fasta	intron
SISRS_contig-270000137.fasta	intron
SISRS_contig-1008000118.fasta	intron
SISRS_contig-388000043.fasta	intron
SISRS_contig-306000033.fasta	intron
SISRS_contig-886000093.fasta	intron
SISRS_contig-529000100.fasta	intron
SISRS_contig-594000015.fasta	intron
SISRS_contig-1220000141.fasta	intron
SISRS_contig-376000036.fasta	intron
SISRS_contig-129000006.fasta	intron
SISRS_contig-1104000116.fasta	intron
SISRS_contig-1173000140.fasta	intron
SISRS_contig-932000143.fasta	intron
SISRS_contig-1509000176.fasta	intron
SISRS_contig-1345000119.fasta	intron
SISRS_contig-145000169.fasta	intron
SISRS_contig-167000033.fasta	intron
SISRS_contig-1148000128.fasta	intron
SISRS_contig-1588000034.fasta	intron
SISRS_contig-521000052.fasta	intron
SISRS_contig-824000199.fasta	intron
SISRS_contig-882000018.fasta	intron
SISRS_contig-645000068.fasta	intron
SISRS_contig-1578000195.fasta	intron
SISRS_contig-582000026.fasta	intron
SISRS_contig-218000113.fasta	intron
SISRS_contig-601000194.fasta	intron
SISRS_contig-1295000128.fasta	intron
SISRS_contig-596000033.fasta	intron
SISRS_contig-1356000051.fasta	intron
SISRS_contig-929000004.fasta	intron
SISRS_contig-1364000179.fasta	intron
SISRS_contig-386000067.fasta	intron
SISRS_contig-1348000003.fasta	intron
SISRS_contig-1110000019.fasta	intron
SISRS_contig-318000039.fasta	intron
SISRS_contig-1338000004.fasta	intron
SISRS_contig-1520000028.fasta	intron
SISRS_contig-437000119.fasta	intron
SISRS_contig-253000060.fasta	intron
SISRS_contig-1637000030.fasta	intron
SISRS_contig-486000185.fasta	intron
SISRS_contig-868000016.fasta	intron
SISRS_contig-1019000128.fasta	intron
SISRS_contig-999000177.fasta	intron
SISRS_contig-858000120.fasta	intron
SISRS_contig-1534000199.fasta	intron
SISRS_contig-232000024.fasta	intron
SISRS_contig-742000131.fasta	intron
SISRS_contig-932000076.fasta	intron
SISRS_contig-486000133.fasta	intron
SISRS_contig-1291000106.fasta	intron
SISRS_contig-973000128.fasta	intron
SISRS_contig-1101000058.fasta	intron
SISRS_contig-827000039.fasta	intron
SISRS_contig-146000116.fasta	intron
SISRS_contig-447000040.fasta	intron
SISRS_contig-640000021.fasta	intron
SISRS_contig-1603000115.fasta	intron
SISRS_contig-1854000153.fasta	intron
SISRS_contig-125000142.fasta	intron
SISRS_contig-1186000196.fasta	intron
SISRS_contig-229000141.fasta	intron
SISRS_contig-870000198.fasta	intron
SISRS_contig-652000118.fasta	intron
SISRS_contig-357000175.fasta	intron
SISRS_contig-216000062.fasta	intron
SISRS_contig-83000046.fasta	intron
SISRS_contig-1486000081.fasta	intron
SISRS_contig-414000115.fasta	intron
SISRS_contig-489000145.fasta	intron
SISRS_contig-1304000166.fasta	intron
SISRS_contig-442000064.fasta	intron
SISRS_contig-1741000129.fasta	intron
SISRS_contig-1708000101.fasta	intron
SISRS_contig-860000132.fasta	intron
SISRS_contig-1173000122.fasta	intron
SISRS_contig-204000133.fasta	intron
SISRS_contig-1634000129.fasta	intron
SISRS_contig-791000013.fasta	intron
SISRS_contig-983000014.fasta	intron
SISRS_contig-1088000176.fasta	intron
SISRS_contig-564000118.fasta	intron
SISRS_contig-423000187.fasta	intron
SISRS_contig-1779000158.fasta	intron
SISRS_contig-1036000175.fasta	intron
SISRS_contig-141000019.fasta	intron
SISRS_contig-1531000144.fasta	intron
SISRS_contig-155000067.fasta	intron
SISRS_contig-1375000059.fasta	intron
SISRS_contig-938000185.fasta	intron
SISRS_contig-1168000039.fasta	intron
SISRS_contig-1306000042.fasta	intron
SISRS_contig-1464000067.fasta	intron
SISRS_contig-1281000019.fasta	intron
SISRS_contig-1606000130.fasta	intron
SISRS_contig-544000021.fasta	intron
SISRS_contig-1192000046.fasta	intron
SISRS_contig-1220000063.fasta	intron
SISRS_contig-1144000103.fasta	intron
SISRS_contig-192000091.fasta	intron
SISRS_contig-1132000175.fasta	intron
SISRS_contig-169000063.fasta	intron
SISRS_contig-1219000052.fasta	intron
SISRS_contig-193000170.fasta	intron
SISRS_contig-1581000164.fasta	intron
SISRS_contig-610000138.fasta	intron
SISRS_contig-574000076.fasta	intron
SISRS_contig-1806000137.fasta	intron
SISRS_contig-1670000047.fasta	intron
SISRS_contig-132000122.fasta	intron
SISRS_contig-1515000037.fasta	intron
SISRS_contig-945000187.fasta	intron
SISRS_contig-1370000146.fasta	intron
SISRS_contig-598000146.fasta	intron
SISRS_contig-1486000176.fasta	intron
SISRS_contig-1185000102.fasta	intron
SISRS_contig-1394000092.fasta	intron
SISRS_contig-1067000141.fasta	intron
SISRS_contig-1415000174.fasta	intron
SISRS_contig-326000119.fasta	intron
SISRS_contig-17000187.fasta	intron
SISRS_contig-1206000056.fasta	intron
SISRS_contig-431000036.fasta	intron
SISRS_contig-1291000160.fasta	intron
SISRS_contig-1323000173.fasta	intron
SISRS_contig-919000119.fasta	intron
SISRS_contig-800000085.fasta	intron
SISRS_contig-1183000187.fasta	intron
SISRS_contig-1539000157.fasta	intron
SISRS_contig-1594000120.fasta	intron
SISRS_contig-795000034.fasta	intron
SISRS_contig-569000112.fasta	intron
SISRS_contig-1072000051.fasta	intron
SISRS_contig-146000167.fasta	intron
SISRS_contig-195000016.fasta	intron
SISRS_contig-168000176.fasta	intron
SISRS_contig-950000083.fasta	intron
SISRS_contig-1498000093.fasta	intron
SISRS_contig-935000178.fasta	intron
SISRS_contig-8000197.fasta	intron
SISRS_contig-355000122.fasta	intron
SISRS_contig-10000190.fasta	intron
SISRS_contig-128000157.fasta	intron
SISRS_contig-1429000154.fasta	intron
SISRS_contig-234000126.fasta	intron
SISRS_contig-1379000155.fasta	intron
SISRS_contig-1280000022.fasta	intron
SISRS_contig-773000151.fasta	intron
SISRS_contig-1059000089.fasta	intron
SISRS_contig-503000145.fasta	intron
SISRS_contig-1492000177.fasta	intron
SISRS_contig-987000115.fasta	intron
SISRS_contig-942000121.fasta	intron
SISRS_contig-1502000021.fasta	intron
SISRS_contig-719000083.fasta	intron
SISRS_contig-396000118.fasta	intron
SISRS_contig-244000137.fasta	intron
SISRS_contig-1582000055.fasta	intron
SISRS_contig-632000031.fasta	intron
SISRS_contig-523000092.fasta	intron
SISRS_contig-1243000061.fasta	intron
SISRS_contig-1509000073.fasta	intron
SISRS_contig-849000013.fasta	intron
SISRS_contig-946000035.fasta	intron
SISRS_contig-840000136.fasta	intron
SISRS_contig-854000144.fasta	intron
SISRS_contig-739000069.fasta	intron
SISRS_contig-1343000121.fasta	intron
SISRS_contig-1164000006.fasta	intron
SISRS_contig-598000193.fasta	intron
SISRS_contig-1376000187.fasta	intron
SISRS_contig-378000146.fasta	intron
SISRS_contig-1260000010.fasta	intron
