Alignment_name	Locus_type
SISRS_contig-514000026.fasta	UTR
SISRS_contig-542000028.fasta	UTR
SISRS_contig-1005000078.fasta	UTR
SISRS_contig-183000051.fasta	UTR
SISRS_contig-331000109.fasta	UTR
SISRS_contig-507000197.fasta	UTR
SISRS_contig-89000122.fasta	UTR
SISRS_contig-1511000118.fasta	UTR
SISRS_contig-170000124.fasta	UTR
SISRS_contig-718000008.fasta	UTR
SISRS_contig-1036000110.fasta	UTR
SISRS_contig-1517000126.fasta	UTR
SISRS_contig-379000089.fasta	UTR
SISRS_contig-1089000046.fasta	UTR
SISRS_contig-312000151.fasta	UTR
SISRS_contig-382000087.fasta	UTR
SISRS_contig-1625000178.fasta	UTR
SISRS_contig-657000146.fasta	UTR
SISRS_contig-360000126.fasta	UTR
SISRS_contig-1143000104.fasta	UTR
SISRS_contig-874000187.fasta	UTR
SISRS_contig-257000023.fasta	UTR
SISRS_contig-960000083.fasta	UTR
SISRS_contig-1450000078.fasta	UTR
SISRS_contig-838000112.fasta	UTR
SISRS_contig-1443000094.fasta	UTR
SISRS_contig-906000159.fasta	UTR
SISRS_contig-534000169.fasta	UTR
SISRS_contig-1560000013.fasta	UTR
SISRS_contig-956000029.fasta	UTR
SISRS_contig-1443000124.fasta	UTR
SISRS_contig-813000009.fasta	UTR
SISRS_contig-663000096.fasta	UTR
SISRS_contig-25000024.fasta	UTR
SISRS_contig-678000060.fasta	UTR
SISRS_contig-62000066.fasta	UTR
SISRS_contig-590000015.fasta	UTR
SISRS_contig-120000023.fasta	UTR
SISRS_contig-1381000022.fasta	UTR
SISRS_contig-932000149.fasta	UTR
SISRS_contig-708000103.fasta	UTR
SISRS_contig-996000135.fasta	UTR
SISRS_contig-1569000066.fasta	UTR
SISRS_contig-1247000144.fasta	UTR
SISRS_contig-1407000132.fasta	UTR
SISRS_contig-118000086.fasta	UTR
SISRS_contig-768000032.fasta	UTR
SISRS_contig-251000063.fasta	UTR
SISRS_contig-378000008.fasta	UTR
SISRS_contig-151000094.fasta	UTR
SISRS_contig-481000077.fasta	UTR
SISRS_contig-250000024.fasta	UTR
SISRS_contig-815000045.fasta	UTR
SISRS_contig-82000089.fasta	UTR
SISRS_contig-1394000035.fasta	UTR
SISRS_contig-135000035.fasta	UTR
SISRS_contig-992000136.fasta	UTR
SISRS_contig-478000148.fasta	UTR
SISRS_contig-1231000027.fasta	UTR
SISRS_contig-558000183.fasta	UTR
SISRS_contig-5000187.fasta	UTR
SISRS_contig-1178000003.fasta	UTR
SISRS_contig-86000121.fasta	UTR
SISRS_contig-852000075.fasta	UTR
SISRS_contig-1272000194.fasta	UTR
SISRS_contig-1023000155.fasta	UTR
SISRS_contig-817000042.fasta	UTR
SISRS_contig-1230000062.fasta	UTR
SISRS_contig-193000007.fasta	UTR
SISRS_contig-79000145.fasta	UTR
SISRS_contig-107000184.fasta	UTR
SISRS_contig-1057000170.fasta	UTR
SISRS_contig-212000143.fasta	UTR
SISRS_contig-1440000017.fasta	UTR
SISRS_contig-977000033.fasta	UTR
SISRS_contig-186000116.fasta	UTR
SISRS_contig-287000002.fasta	UTR
SISRS_contig-1374000118.fasta	UTR
SISRS_contig-11000033.fasta	UTR
SISRS_contig-1067000095.fasta	UTR
SISRS_contig-116000183.fasta	UTR
SISRS_contig-130000173.fasta	UTR
SISRS_contig-383000050.fasta	UTR
SISRS_contig-744000137.fasta	UTR
SISRS_contig-983000010.fasta	UTR
SISRS_contig-73000157.fasta	UTR
SISRS_contig-697000162.fasta	UTR
SISRS_contig-225000000.fasta	UTR
SISRS_contig-855000170.fasta	UTR
SISRS_contig-1208000172.fasta	UTR
SISRS_contig-119000118.fasta	UTR
SISRS_contig-311000179.fasta	UTR
SISRS_contig-1141000054.fasta	UTR
SISRS_contig-1293000118.fasta	UTR
SISRS_contig-190000189.fasta	UTR
SISRS_contig-547000143.fasta	UTR
SISRS_contig-610000028.fasta	UTR
SISRS_contig-1379000060.fasta	UTR
